1023.25,1459.75,1097.94,1346.56
1844.75,1512.75,2330.19,1169.56
2352.75,1434.75,3181.81,1003.44
928.75,1863.25,1058.94,1760.56
1463.75,1925.25,1800.69,1774.44
1912.75,1819.75,2509.44,1544.94
2491.75,1850.75,3430.44,1517.94
1007.75,2200.75,1159.06,2124.69
1424.25,2256.75,1748.94,2200.06
1894.25,2310.75,2550.69,2227.81
2430.75,2230.75,3408.69,2021.94
1614.25,2451.75,2056.44,2480.94
2323.25,2500.75,3317.19,2418.69
1415.25,1503.75,1642.06,1281.69
2072.75,2155.75,2814.69,1982.56
1684.75,1996.25,2161.81,1833.69
