1679.25,1133.75,1103.94,854.94
2002.25,1292.25,1714.44,902.94
2377.75,1453.25,2384.56,1032.31
1952.75,1644.25,1732.06,1345.81
1630.75,1507.25,1181.56,1284.31
1160.75,1432.25,566.56,1379.94
1181.25,1842.25,667.81,1807.06
1574.25,1815.25,1173.31,1669.06
2139.75,1912.75,2095.81,1653.31
2545.25,1916.25,2726.56,1580.56
2983.75,1955.25,3329.56,1559.19
2759.75,2187.25,3086.19,1858.06
2413.75,2287.25,2621.19,2083.44
2080.25,2186.25,2066.94,2039.56
1767.75,2294.25,1559.56,2262.31
1535.25,2112.75,1158.31,2065.44
