1679.25,1133.75,1246.81,708.31
2002.25,1292.25,1876.81,908.56
2876.25,1364.25,3256.06,1136.56
2377.75,1453.25,2497.44,1151.19
1952.75,1644.25,1796.56,1351.44
1630.75,1507.25,1253.94,1169.94
1160.75,1432.25,600.31,1185.31
946.75,1743.75,383.19,1534.06
1181.25,1842.25,670.06,1619.56
1574.25,1815.25,1189.06,1559.56
2139.75,1912.75,2100.69,1732.06
2545.25,1916.25,2735.56,1737.69
2413.75,2287.25,2572.44,2236.81
2080.25,2186.25,2005.44,2114.56
1767.75,2294.25,1452.69,2213.94
1535.25,2112.75,1127.19,1937.56
1041.25,2251.25,466.06,2061.31
