2175.25,1404.25,2198.19,1037.56
2684.25,1393.25,3009.31,1110.31
2868.25,1758.25,3199.44,1540.44
2422.75,1688.75,2574.31,1413.31
1841.25,1743.75,1633.06,1459.06
1443.75,1819.25,1023.69,1559.56
1203.25,2077.75,683.19,1859.94
1515.25,2164.25,1103.19,2000.56
1815.25,2072.75,1577.94,1903.81
2269.75,2104.25,2323.06,1962.69
2728.25,2071.75,3010.81,1902.31
2776.75,2354.25,3117.69,2238.31
2352.25,2451.25,2484.69,2437.06
2016.75,2437.25,1895.94,2431.81
1454.25,2423.75,970.06,2324.19
2192.25,1869.25,2201.19,1641.31
1789.25,1630.25,1547.19,1307.94
